	B1	B2	B3	B4	B9	B26	B11	B12	B17	B18	B19	B20	B7	B8	B15	B16	B23	B24
Bcin01g00210	9.05415470970395	9.08374437536197	9.08944765747449	9.28585608839262	9.02575234669849	9.30834726248959	8.90561228535163	9.21389846020453	9.22958350755359	9.30975058893629	8.8664610516858	9.27820385812205	9.20941819234518	9.30064932590053	9.3667167049027	9.14826629831396	9.13956184509755	9.45091233435219
Bcin01g00220	12.1228689669273	10.2559999699776	10.8166356700157	10.0268905883867	11.3051224014524	9.96848656049623	11.9180490414239	9.85888593077982	10.1975861897059	9.65822942196801	10.5895870431143	9.9253591055865	11.7469409432118	9.76258233257463	12.3069938262851	9.85838005765846	10.2777245387234	9.82316393300842
Bcin01g00230	9.36040304787416	8.79006054934414	8.84497158101477	8.82181601440282	9.44717694557899	8.92144418527603	9.30162551945144	8.53871445549193	8.53692343915254	8.53654083653759	8.67520461294222	8.71383335059092	8.44764465683189	8.56321445895705	9.07712407739495	8.66932471274836	8.73496515013424	8.38405775572767
Bcin01g00240	3.80127049698034	4.74364748826065	3.5145088310018	4.50012477474411	4.7347999491359	4.49454412449539	3.70762560869747	4.93044744429003	3.81809635842676	4.84939547533814	4.00213741372277	3.5647566743722	4.09918978485003	4.00341199743937	4.26642484122949	4.4492514295997	4.1041710424908	4.49752536854531
ENSRNA049512445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.46762487223957	1.2854657441941	0.576134394515636	0
Bcin01g00250	6.1548501203254	6.43347529958987	6.08825906946846	6.28641258586876	6.02384676465368	6.20772521974429	5.93839318594059	6.39780618462267	5.61618976159957	6.32557669803332	5.55901113314726	6.78835578850854	6.36566191766983	6.66801198095662	6.38193330231966	6.61527643031707	5.75520059049008	6.83913515615909
Bcin01g00260	6.94270103204899	8.01627682973085	7.25693286797219	7.87570394051926	6.32988902529229	6.17501222036907	7.88835406902326	7.94565735276874	9.05575452937853	7.41030892931307	8.54032399173887	7.87352764420806	8.36262126312395	8.16020420152187	7.656045233351	8.67694605849981	8.13331732196447	8.7241852526565
Bcin01g00270	8.75406277551786	8.20934805893341	8.18733230461799	8.27877660075284	8.30473008081328	8.13466300108695	8.60643596016133	8.1727537751423	8.2692288853519	8.40150293519808	8.35888201513196	8.04769942335409	8.83518982255253	8.10303091363673	8.75625638391636	8.11010117120178	8.58075122279212	7.95260899310844
Bcin01g00280	9.91868974718812	9.80672136147271	9.85737109771963	9.68460173941278	9.59552606135765	9.45861346500969	9.72144676394548	9.64303828170052	9.40343523763075	9.75432953963065	9.24630001621258	9.81401784221765	9.36379767927139	9.8672829007038	9.61862603054245	9.80721090905223	9.28059521161217	9.85810192456627
EFBcG00000013159	0	0	0	0	1.83295752367354	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049538829	0	0	0	0	1.83295752367354	0	0	0	0	0	0	0	0	0	0	0	0	0
Bcin01g00290	6.92085514076993	6.29225503729877	8.5561620000462	5.88579257750952	6.81347340628963	6.36101030923982	6.8780814772123	5.88875291968966	5.80837019921783	5.68100896275551	6.07753413852453	6.1459492129377	6.35215359227594	5.70038547546406	6.48031524751272	5.66099285657562	7.11309403671689	5.96997521890783
Bcin01g00300	0	0	0	0	0	0	0	0	1.45800567494029	1.0498433943788	1.0518057273911	0	0	0	0	0	0.576134394515636	0
