f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18
ath-miR393b-5p	13	0	5	94	70	165	246	215	437	99	39	241	440	240	114	583	448	591
ath-miR394a	5	4	7	69	59	41	45	271	355	134	155	254	189	143	38	309	354	352
ath-miR394b-5p	4	4	6	69	58	40	45	267	355	133	154	255	190	143	38	308	352	351
ath-miR395a	1	0	0	19	14	10	68	39	9	32	26	54	65	6	5	14	81	96
ath-miR395b	10	4	3	108	156	49	213	225	65	275	156	221	114	9	7	17	298	114
ath-miR395c	10	4	3	108	156	49	213	225	65	275	156	221	114	9	7	17	298	114
ath-miR395d	1	0	0	19	14	10	68	39	9	32	26	54	65	6	5	14	81	96
ath-miR395e	1	0	0	19	14	10	68	39	9	32	26	54	64	6	5	14	81	96
ath-miR395f	10	4	3	108	156	49	213	225	65	275	156	221	114	9	7	17	298	114
ath-miR396a-3p	11	7	17	162	111	347	215	212	470	128	58	193	166	121	55	313	229	203
ath-miR396a-5p	781	408	901	7324	1611	16246	7863	27607	39154	3667	1549	21431	32815	11090	11526	21477	25994	35180
ath-miR396b-3p	1	0	1	16	17	19	12	23	31	11	5	28	35	13	11	21	22	27
ath-miR396b-5p	511	242	534	3838	1078	13881	6795	19651	30880	2973	1171	17592	24771	7843	7914	15689	16739	23975
ath-miR397a	17	0	14	55	82	75	42	14	109	13	5	535	135	4	4	10	26	374
ath-miR397b	136	26	141	1282	368	1308	210	619	2073	222	42	6327	5057	216	283	288	1301	11955
ath-miR398a-3p	13	11	15	134	222	178	144	148	224	213	262	682	694	85	35	133	226	1479
ath-miR398a-5p	2	0	2	9	8	38	18	76	106	18	6	72	41	18	17	76	53	63
ath-miR398b-3p	2743	881	2709	15043	36323	34157	26801	23692	41459	32165	31958	108303	119103	12343	3554	24266	39085	264012
ath-miR398b-5p	96	25	101	193	193	301	162	460	542	258	40	1333	1216	142	56	326	748	2225
ath-miR398c-3p	2743	881	2709	15043	36323	34157	26801	23692	41459	32165	31958	108303	119103	12343	3554	24266	39085	264012
ath-miR398c-5p	96	25	101	194	194	301	163	460	544	259	40	1333	1219	142	56	327	751	2232
ath-miR399a	27	4	24	192	95	79	47	73	193	12	16	92	267	32	9	68	78	127
ath-miR399b	103	12	52	829	503	1670	749	1176	2073	386	392	2988	4542	1001	585	1429	1732	4282
ath-miR399c-3p	102	11	50	836	496	1715	613	1142	2002	380	366	2873	4476	897	583	1358	1693	4109
ath-miR399c-5p	3	0	6	15	68	33	25	28	49	52	30	39	98	21	3	19	27	32
ath-miR399d	6	4	6	8	8	0	8	6	20	5	2	10	30	3	0	15	18	44
ath-miR399e	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ath-miR399f	8	4	4	19	42	15	12	34	64	23	19	42	98	15	3	29	36	65
ath-miR400	7	1	7	17	4	40	16	94	350	2	1	56	121	69	30	73	123	169
ath-miR401	1	0	0	0	0	0	0	3	2	0	0	2	0	1	1	2	1	5
ath-miR402	0	0	0	4	0	4	3	13	24	1	2	6	11	2	3	15	12	16
ath-miR403-3p	1295	246	1015	9075	2407	33069	6199	20268	65825	5055	1851	23622	29193	16831	7291	32188	32928	43797
ath-miR403-5p	6	1	4	38	2	25	1	79	155	8	3	53	81	25	5	77	135	187
ath-miR404	1	0	0	0	0	2	1	1	1	0	0	2	2	1	0	4	2	2
ath-miR405a	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
ath-miR405b	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
ath-miR405d	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
ath-miR406	1	0	0	0	1	0	0	1	3	0	0	1	0	1	0	0	5	0
ath-miR407	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ath-miR408-3p	1205	866	1823	6498	12333	12114	8651	5501	17761	10359	8360	16363	12939	1464	1953	3853	4805	23451
ath-miR408-5p	69	20	43	261	381	899	235	370	428	364	103	1155	1064	41	119	240	320	1435
ath-miR413	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ath-miR415	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ath-miR416	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	1	0
ath-miR4221	0	0	0	2	0	3	0	4	5	2	1	0	3	0	0	2	1	1
ath-miR4228-3p	0	0	2	5	22	5	107	21	30	11	11	16	15	28	1	20	13	17
ath-miR4228-5p	1	1	0	2	5	1	12	3	8	2	3	1	1	0	2	9	7	7
ath-miR4243	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0
ath-miR4245	1	0	0	0	0	3	0	3	4	2	0	0	1	0	0	0	1	1
ath-miR447a-3p	1	0	2	12	9	11	11	33	17	17	9	22	49	8	3	36	34	38
ath-miR447a.2-3p	11	0	3	92	14	141	26	177	372	8	6	96	154	79	48	121	165	258
ath-miR447b	1	0	2	12	9	11	11	33	17	17	9	22	49	8	3	36	34	38
ath-miR447c-5p	0	0	0	0	3	0	1	4	2	1	2	5	0	2	0	1	2	2
ath-miR472-3p	39	35	58	345	445	302	446	542	861	934	1384	354	575	184	80	516	756	640
ath-miR472-5p	2	0	2	13	2	16	10	20	59	7	1	28	36	12	3	58	36	52
ath-miR5012	1	1	3	8	4	40	2	22	103	3	0	22	10	5	9	24	14	18
ath-miR5014a-3p	0	0	0	1	0	0	0	0	6	0	0	0	1	0	0	1	0	1
ath-miR5014a-5p	0	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0
ath-miR5014b	0	0	0	1	0	0	0	0	1	0	0	2	1	2	0	0	1	1
ath-miR5019	1	0	0	0	0	2	2	1	0	1	1	3	6	1	0	1	3	1
ath-miR5020b	0	0	0	0	0	0	1	2	0	0	0	3	1	0	0	2	0	2
ath-miR5020c	0	0	0	3	1	7	1	6	4	2	1	5	3	1	1	4	6	4
ath-miR5021	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1
ath-miR5023	0	0	1	0	1	2	3	0	2	0	1	3	2	1	2	2	1	2
ath-miR5024-3p	3	2	0	22	9	17	8	20	29	4	2	7	15	6	5	14	16	4
ath-miR5024-5p	1	0	0	0	1	0	3	7	6	0	1	2	7	3	2	8	2	4
ath-miR5025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ath-miR5026	0	1	1	0	1	2	1	1	2	2	0	2	5	1	0	0	3	7
ath-miR5027	0	0	0	0	1	2	0	1	2	0	0	1	1	1	0	1	1	3
ath-miR5028	0	0	2	4	1	1	9	39	45	3	2	26	28	55	1	21	41	52
ath-miR5029	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0
ath-miR5595a	2	0	0	5	2	9	5	20	50	3	5	18	19	7	5	22	21	13
ath-miR5628	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0
ath-miR5629	0	0	1	5	5	4	4	10	11	3	1	7	7	2	1	7	2	7
ath-miR5630a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
